Index,Date,Open,High,Low,Close*,Adj,Close**
NASDAQ,01/11/1985,293,314,292.5,314,314,
NASDAQ,01/10/1985,280.6,292.8,276.6,292.5,292.5,
NASDAQ,01/09/1985,297.3,297.7,279.5,280.3,280.3,
NASDAQ,01/08/1985,302.6,304.6,295.1,297.7,297.7,
NASDAQ,01/07/1985,295.9,307.9,295.5,301.3,301.3,
NASDAQ,01/06/1985,291.4,296.2,286.7,296.2,296.2,
NASDAQ,01/05/1985,280.5,294.8,278.8,290.8,290.8,
NASDAQ,01/04/1985,279.5,284.8,276.2,280.6,280.6,
NASDAQ,01/03/1985,285.1,287.8,275.6,279.2,279.2,
NASDAQ,01/02/1985,277.9,289.3,277.9,284.2,284.2,
NASDAQ,01/01/1985,247.1,278.9,245.8,278.7,278.7,
NIKKEI,01/05/2021,29024.01,29685.41,27385.03,27824.83,27824.83,
NIKKEI,01/04/2021,29441.91,30208.89,28419.84,28812.63,28812.63,
NIKKEI,01/03/2021,29419.45,30485,28308.57,29178.8,29178.8,
NIKKEI,01/02/2021,27649.07,30714.52,27649.07,28966.01,28966.01,
NIKKEI,01/01/2021,27575.57,28979.53,27002.18,27663.39,27663.39,
NIKKEI,01/12/2020,26624.2,27602.52,26327.08,27444.17,27444.17,
NIKKEI,01/11/2020,23110.74,26834.2,23096.79,26433.62,26433.62,
NIKKEI,01/10/2020,23184.93,23725.58,22948.47,22977.13,22977.13,
NIKKEI,01/09/2020,23089.63,23622.74,22878.71,23185.12,23185.12,
NIKKEI,01/08/2020,21947.58,23431.04,21919.83,23139.76,23139.76,
NIKKEI,01/07/2020,22338.3,22965.56,21710,21710,21710,
NIKKEI,01/06/2020,21910.89,23185.85,21529.83,22288.14,22288.14,
NIKKEI,01/05/2020,19991.97,21955.44,19448.93,21877.89,21877.89,
NIKKEI,01/04/2020,18686.12,20365.89,17646.5,20193.69,20193.69,
NIKKEI,01/03/2020,20849.79,21719.78,16358.19,18917.01,18917.01,
NIKKEI,01/02/2020,22874.27,23995.37,20916.4,21142.96,21142.96,
NIKKEI,01/01/2020,23319.76,24115.95,22892.95,23205.18,23205.18,
NIKKEI,01/12/2019,23388.63,24091.12,23044.78,23656.62,23656.62,
NIKKEI,01/11/2019,22730.49,23608.06,22705.6,23293.91,23293.91,
NIKKEI,01/10/2019,21831.44,23008.43,21276.01,22927.04,22927.04,
NIKKEI,01/09/2019,20625.75,22255.56,20554.16,21755.84,21755.84,
NIKKEI,01/08/2019,21361.58,21556.69,20110.76,20704.37,20704.37,
NIKKEI,01/07/2019,21566.27,21823.07,20993.44,21521.53,21521.53,
NIKKEI,01/06/2019,20327.87,21497.82,20289.64,21275.92,21275.92,
NIKKEI,01/05/2019,22184.4,22190.49,20581.58,20601.19,20601.19,
